domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
abplive.com,ok,104.2,214.03,425.58,2,98.84,0.1,
zeenews.india.com,ok,37.44,80.28,157.18,2,95.79,0.1,
republicworld.com,ok,108.07,221.79,441.2,2,98.93,0.1,
opindia.com,ok,57.13,119.66,235.94,2,97.18,0.1,
thewire.in,ok,48.46,102.32,201.26,2,96.7,0.1,
scroll.in,ok,65.53,136.46,269.54,2,97.52,0.1,
theprint.in,ok,63.15,131.7,260.02,2,97.43,0.1,
firstpost.com,ok,175.59,357.24,713.72,2,99.79,0.1,
indiatoday.in,ok,191.77,389.69,779.03,2,99.91,0.1,
news18.com,ok,178.1,362.27,723.85,2,99.81,0.1,
indianexpress.com,ok,198.96,404.12,808.05,2,99.95,0.1,
hindustantimes.com,ok,132.18,270.15,538.51,2,99.34,0.1,
thehindu.com,ok,98.59,202.77,402.93,2,98.71,0.1,
ndtv.com,ok,188.39,382.91,765.39,2,99.89,0.1,
timesofindia.indiatimes.com,ok,59.95,125.3,247.22,2,97.3,0.1,
healthkart.com,ok,65.39,136.18,268.98,2,97.52,0.1,
apollo247.com,ok,54.72,114.84,226.3,2,97.06,0.1,
netmeds.com,ok,66.74,138.88,274.38,2,97.57,0.1,
1mg.com,ok,57.55,120.5,237.62,2,97.2,0.1,
pharmeasy.in,ok,53.61,112.62,221.86,2,97.0,0.1,
mfine.co,ok,26.71,58.82,114.26,2,94.25,0.1,
boat-lifestyle.com,ok,117.26,240.22,478.29,2,99.1,0.1,
bewakoof.com,ok,124.13,254.01,506.02,2,99.21,0.1,
dunzo.com,ok,136.28,278.38,555.06,2,99.39,0.1,
urbancompany.com,ok,49.64,104.68,205.98,2,96.77,0.1,
sulekha.com,ok,5.09,15.58,27.78,2,78.31,0.1,
justdial.com,ok,89.57,184.68,366.53,2,98.47,0.1,
tradeindia.com,ok,67.09,139.58,275.79,2,97.59,0.1,
indiamart.com,ok,44.82,95.04,186.7,2,96.44,0.1,
urbanladder.com,ok,81.36,168.21,333.39,2,98.2,0.1,
pepperfry.com,ok,100.61,206.82,411.09,2,98.77,0.1,
shopclues.com,ok,43.6,92.6,181.82,2,96.35,0.1,
snapdeal.com,ok,56.39,118.18,232.98,2,97.14,0.1,
firstcry.com,ok,3.21,11.82,20.26,2,71.4,0.1,
jiomart.com,ok,4.49,14.38,25.38,2,76.5,0.1,
tatacliq.com,ok,104.09,213.81,425.13,2,98.84,0.1,
reliancedigital.in,ok,4.53,14.46,25.54,2,76.63,0.1,
croma.com,ok,101.39,208.39,414.23,2,98.78,0.1,
lenskart.com,ok,127.23,260.22,518.53,2,99.27,0.1,
cred.club,ok,99.25,204.1,405.6,2,98.73,0.1,
mobikwik.com,ok,131.53,268.85,535.89,2,99.33,0.1,
freecharge.in,ok,113.83,233.34,464.44,2,99.04,0.1,
phonepe.com,ok,110.97,227.61,452.9,2,98.98,0.1,
paytm.com,ok,4.41,14.22,25.06,2,76.23,0.1,
bookmyshow.com,ok,63.86,133.12,262.86,2,97.46,0.1,
uber.com,ok,25.72,56.84,110.3,2,94.05,0.1,
olacabs.com,ok,207.5,421.25,842.52,2,100.0,0.1,
olaelectric.com,ok,278.48,563.63,1129.01,2,100.31,0.1,
irctc.co.in,ok,137.88,281.59,561.52,2,99.41,0.1,
redbus.in,ok,174.77,355.59,710.41,2,99.78,0.1,
cleartrip.com,ok,201.15,408.51,816.89,2,99.97,0.1,
yatra.com,ok,182.64,371.38,742.18,2,99.84,0.1,
goibibo.com,ok,118.96,243.63,485.15,2,99.13,0.1,
makemytrip.com,ok,36.2,77.8,152.22,2,95.66,0.1,
zeptonow.com,ok,208.68,423.61,847.28,2,100.01,0.1,
blinkit.com,ok,166.41,338.82,676.67,2,99.71,0.1,
bigbasket.com,ok,97.99,201.57,400.51,2,98.7,0.1,
swiggy.com,ok,612.83,1234.34,2478.53,2,100.8,0.1,
