domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
freecharge.in,ok,45.04,109.85,291.85,2,165.68,3.5,
phonepe.com,ok,172.49,388.2,971.01,2,150.13,3.5,
paytm.com,ok,3.99,27.75,127.65,2,360.0,3.5,
bookmyshow.com,ok,233.12,522.89,1310.56,2,150.64,3.5,
uber.com,ok,94.06,213.96,531.77,2,148.54,3.5,
olacabs.com,ok,210.74,473.17,1185.22,2,150.49,3.5,
olaelectric.com,ok,367.38,821.16,2062.47,2,151.17,3.5,
irctc.co.in,ok,17.22,54.21,180.57,2,233.09,3.5,
redbus.in,ok,103.25,234.38,583.24,2,148.84,3.5,
cleartrip.com,ok,131.85,297.91,743.41,2,149.54,3.5,
yatra.com,ok,190.06,427.23,1069.41,2,150.31,3.5,
goibibo.com,ok,6.62,33.01,138.17,2,318.57,3.5,
makemytrip.com,ok,4.33,28.43,129.01,2,353.78,3.5,
zeptonow.com,ok,37.67,95.11,262.37,2,175.86,3.5,
blinkit.com,ok,45.35,110.47,293.09,2,165.31,3.5,
bigbasket.com,ok,88.5,201.61,500.63,2,148.32,3.5,
swiggy.com,ok,100.66,228.62,568.73,2,148.77,3.5,
zomato.com,ok,35.24,90.25,252.65,2,179.94,3.5,
nykaa.com,ok,172.21,387.58,969.44,2,150.13,3.5,
meesho.com,ok,42.42,104.61,281.37,2,168.97,3.5,
ajio.com,ok,15.17,50.11,172.37,2,243.98,3.5,
myntra.com,ok,37.66,95.09,262.33,2,175.88,3.5,
flipkart.com,ok,7.38,34.53,141.21,2,308.95,3.5,
amazon.in,ok,27.46,74.69,221.53,2,196.6,3.5,
google.com,ok,195.99,440.4,1102.62,2,150.37,3.5,
makemytrip.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
irctc.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
akasaair.in,ok,7.13,34.03,140.21,2,312.02,3.5,
goindigo.in,ok,28.41,76.59,225.33,2,194.2,3.5,
airindia.in,ok,235.99,529.27,1326.63,2,150.65,3.5,
caratlane.in,failed,,,,,,3.5,_ssl.c:983: The handshake operation timed out
bluestone.in,ok,29.42,78.61,229.37,2,191.78,3.5,
joyalukkas.in,ok,227.82,511.12,1280.88,2,150.6,3.5,
malabargold.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
tanishq.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
titan.in,failed,,,,,,3.5,_ssl.c:983: The handshake operation timed out
pidilite.in,failed,,,,,,3.5,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)
nerolac.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
bergerpaints.in,failed,,,,,,3.5,[Errno 11002] getaddrinfo failed
asianpaints.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
patanjaliayurved.in,failed,,,,,,3.5,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'patanjaliayurved.in'. (_ssl.c:1000)"
